symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
GOOGL,2015-03-02,1,2015-03-02,28.1176,2015-06-18,27.1754,regime,1.0,76,-0.03351,0.0014,-0.03491,regime
GOOGL,2015-07-16,1,2015-07-16,29.2334,2016-02-12,35.3186,regime,1.0,146,0.20816,0.0014,0.20676,regime
GOOGL,2016-04-04,1,2016-04-04,38.1601,2016-05-10,36.4468,regime,1.0,26,-0.0449,0.0014,-0.0463,regime
GOOGL,2016-08-01,1,2016-08-01,39.0111,2016-11-25,38.8097,regime,1.0,82,-0.00516,0.0014,-0.00656,regime
GOOGL,2016-12-30,1,2016-12-30,39.8313,2017-08-24,46.7987,regime,1.0,163,0.17492,0.0014,0.17352,regime
GOOGL,2017-10-12,1,2017-10-12,49.7806,2018-04-05,51.8906,regime,1.0,119,0.04239,0.0014,0.04099,regime
GOOGL,2018-06-05,1,2018-06-05,57.2598,2018-10-10,56.3542,regime,1.0,89,-0.01581,0.0014,-0.01721,regime
GOOGL,2019-02-07,1,2019-02-07,55.1353,2019-05-31,54.8288,regime,1.0,78,-0.00556,0.0014,-0.00696,regime
GOOGL,2019-08-05,1,2019-08-05,58.1677,2020-03-16,54.0339,regime,1.0,154,-0.07107,0.0014,-0.07247,regime
GOOGL,2020-05-20,1,2020-05-20,68.8886,2020-10-05,72.533,regime,1.0,95,0.0529,0.0014,0.0515,regime
GOOGL,2020-10-23,1,2020-10-23,80.0905,2022-01-14,135.9553,regime,1.0,309,0.69752,0.0014,0.69612,regime
GOOGL,2022-08-24,1,2022-08-24,112.5696,2022-09-09,108.1759,regime,1.0,11,-0.03903,0.0014,-0.04043,regime
GOOGL,2023-02-07,1,2023-02-07,102.3739,2023-03-07,94.2014,regime,1.0,19,-0.07983,0.0014,-0.08123,regime
GOOGL,2023-03-22,1,2023-03-22,103.4153,2023-11-17,134.8852,regime,1.0,167,0.30431,0.0014,0.30291,regime
GOOGL,2023-11-27,1,2023-11-27,134.9149,2024-08-14,161.2536,regime,1.0,179,0.19522,0.0014,0.19382,regime
GOOGL,2024-11-11,1,2024-11-11,177.5547,2025-03-06,169.7452,regime,1.0,77,-0.04398,0.0014,-0.04538,regime
GOOGL,2025-06-13,1,2025-06-13,172.0522,2026-03-13,307.01,regime,1.0,187,0.7844,0.0014,0.783,regime
GOOGL,2026-04-27,1,2026-04-27,345.98,2026-06-05,368.53,final,1.0,28,0.06518,0.0014,0.06378,regime
