symbol,decision_date,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,confidence,holding_days,gross_pnl_pct,cost_pct,pnl_pct,note
XOM,2015-10-26,1,2015-10-26,52.0873,2016-01-19,49.6189,regime,1.0,57,-0.04739,0.0014,-0.04879,regime
XOM,2016-02-22,1,2016-02-22,53.0054,2016-08-19,57.9121,regime,1.0,126,0.09257,0.0014,0.09117,regime
XOM,2016-12-07,1,2016-12-07,57.7657,2017-02-02,54.852,regime,1.0,38,-0.05044,0.0014,-0.05184,regime
XOM,2017-06-01,1,2017-06-01,53.9693,2017-06-05,53.3447,regime,1.0,2,-0.01157,0.0014,-0.01297,regime
XOM,2017-06-13,1,2017-06-13,55.6346,2017-07-14,54.3923,regime,1.0,22,-0.02233,0.0014,-0.02373,regime
XOM,2017-10-02,1,2017-10-02,55.1229,2018-02-20,52.863,regime,1.0,96,-0.041,0.0014,-0.0424,regime
XOM,2018-05-17,1,2018-05-17,57.4001,2018-08-24,56.1014,regime,1.0,69,-0.02263,0.0014,-0.02403,regime
XOM,2018-09-13,1,2018-09-13,58.6624,2018-11-02,57.6817,regime,1.0,36,-0.01672,0.0014,-0.01812,regime
XOM,2019-02-28,1,2019-02-28,57.2488,2019-05-28,54.1079,regime,1.0,61,-0.05487,0.0014,-0.05627,regime
XOM,2019-12-20,1,2019-12-20,52.1704,2020-01-27,48.8547,regime,1.0,23,-0.06356,0.0014,-0.06496,regime
XOM,2020-06-15,1,2020-06-15,35.019,2020-08-14,33.5444,regime,1.0,43,-0.04211,0.0014,-0.04351,regime
XOM,2020-12-04,1,2020-12-04,32.878,2021-08-02,47.8855,regime,1.0,164,0.45646,0.0014,0.45506,regime
XOM,2021-10-12,1,2021-10-12,52.0058,2022-07-18,75.7028,regime,1.0,191,0.45566,0.0014,0.45426,regime
XOM,2022-08-03,1,2022-08-03,82.5578,2023-03-17,90.22,regime,1.0,156,0.09281,0.0014,0.09141,regime
XOM,2023-04-17,1,2023-04-17,103.5737,2023-05-18,94.5761,regime,1.0,23,-0.08687,0.0014,-0.08827,regime
XOM,2023-08-22,1,2023-08-22,99.5649,2023-11-07,95.2784,regime,1.0,54,-0.04305,0.0014,-0.04445,regime
XOM,2024-02-27,1,2024-02-27,97.2383,2024-07-02,108.5351,regime,1.0,87,0.11618,0.0014,0.11478,regime
XOM,2024-07-19,1,2024-07-19,111.0542,2024-07-30,108.9659,regime,1.0,7,-0.0188,0.0014,-0.0202,regime
XOM,2024-07-31,1,2024-07-31,112.0375,2024-09-26,104.9155,regime,1.0,40,-0.06357,0.0014,-0.06497,regime
XOM,2024-10-03,1,2024-10-03,115.0729,2024-12-17,102.0658,regime,1.0,52,-0.11303,0.0014,-0.11443,regime
XOM,2025-03-27,1,2025-03-27,113.4072,2025-04-22,101.9225,regime,1.0,17,-0.10127,0.0014,-0.10267,regime
XOM,2025-06-30,1,2025-06-30,105.2839,2026-06-05,149.92,final,1.0,235,0.42396,0.0014,0.42256,regime
